y1 y2 y3 y4 y5 y6 y7 y8 y9 y10
 36.867  36.867  36.867  36.867  36.867  36.867  36.867  36.867  36.867  36.867
 47.290  47.290  47.290  47.290  47.290  47.290  47.290  47.290  47.290  47.290
 49.020  49.020  49.020  49.020  49.020  49.020  49.020  49.020  49.020  49.020
 41.360  41.360  41.360  41.360  41.360  41.360  41.360  41.360  41.360  41.360
 44.551  44.551  44.551  44.551  44.551  44.551  44.551  44.551  44.551  44.551
 47.365  47.365  47.365  47.365  47.365  47.365  47.365  47.365  47.365  47.365
 41.750  41.750  41.750  41.750  41.750  41.750  41.750  41.750  41.750  41.750
 44.805  44.805  44.805  44.805  44.805  44.805  44.805  44.805  44.805  44.805
 44.805  44.805  44.805  44.805  44.805  44.805  44.805  44.805  44.805  44.805
 44.805  44.805  44.805  44.805  44.805  44.805  44.805  44.805  44.805  44.805
 47.051  47.051  47.051  47.051  47.051  47.051  47.051  47.051  47.051  47.051
 48.788  48.788  48.788  48.788  48.788  48.788  48.788  48.788  48.788  48.788
 47.499  47.499  47.499  47.499  47.499  47.499  47.499  47.499  47.499  47.499
 44.631  44.631  44.631  44.631  44.631  44.631  44.631  44.631  44.631  44.631
 49.962  49.962  49.962  49.962  49.962  49.962  49.962  49.962  49.962  49.962
 45.224  45.224  45.224  45.224  45.224  45.224  45.224  45.224  45.224  45.224
 35.698  35.698  35.698  35.698  35.698  35.698  35.698  35.698  35.698  35.698
 40.980  40.980  40.980  40.980  40.980  40.980  40.980  40.980  40.980  40.980
 43.239  43.239  43.239  43.239  43.239  43.239  43.239  43.239  43.239  43.239
 37.643  37.643  37.643  37.643  37.643  37.643  37.643  37.643  37.643  37.643
 46.730  46.730  46.730  46.730  46.730  46.730  46.730  46.730  46.730  46.730
 43.099  43.099  43.099  43.099  43.099  43.099  43.099  43.099  43.099  43.099
 43.687  43.687  43.687  43.687  43.687  43.687  43.687  43.687  43.687  43.687
 45.130  45.130  45.130  45.130  45.130  45.130  45.130  45.130  45.130  45.130
 43.687  43.687  43.687  43.687  43.687  43.687  43.687  43.687  43.687  43.687
 46.082  46.082  46.082  46.082  46.082  46.082  46.082  46.082  46.082  46.082
 46.263  46.263  46.263  46.263  46.263  46.263  46.263  46.263  46.263  46.263
